date,view,contractual_cumulative_cents,collected_expected_cumulative_cents,collected_p5_cents,collected_p50_cents,collected_p95_cents,outstanding_principal_expected_cents
2024-12-09,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-10,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-11,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-12,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-13,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-14,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-15,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-16,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-17,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-18,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-19,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-20,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-21,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-22,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-23,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-24,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-25,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-26,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-27,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-28,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-29,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-30,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-12-31,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-01,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-02,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-03,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-04,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-05,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-06,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-01-07,bank_only,207400000,207400000,207400000,207400000,207400000,0
