date,view,available_cash_expected_cents,available_cash_p5_cents,available_cash_p50_cents,available_cash_p95_cents,cash_locked_expected_cents,credit_capacity_committed_expected_cents
2025-01-04,bank_only,2572146607,2492802961,2579029001,2633364135,0,0
2025-01-05,bank_only,2572146607,2492802961,2579029001,2633364135,0,0
2025-01-06,bank_only,2574024664,2492788842,2577926128,2637490734,0,0
2025-01-07,bank_only,2582657035,2501558248,2586329338,2646314188,0,0
2025-01-08,bank_only,2587483439,2498670003,2590885339,2649275292,0,0
2025-01-09,bank_only,2598320670,2510271824,2603239901,2663031198,0,0
2025-01-10,bank_only,2609400370,2520832212,2615078567,2674613410,0,0
2025-01-11,bank_only,2609400370,2520832212,2615078567,2674613410,0,0
2025-01-12,bank_only,2609400370,2520832212,2615078567,2674613410,0,0
2025-01-13,bank_only,2605689609,2522509852,2610348219,2676146957,0,0
2025-01-14,bank_only,2582719168,2500646905,2584099908,2660504845,0,0
2025-01-15,bank_only,2558274908,2469572506,2558370783,2632377425,0,0
2025-01-16,bank_only,2551422846,2447735546,2551169797,2644189605,0,0
2025-01-17,bank_only,2530487746,2423311806,2527072471,2646562672,0,0
2025-01-18,bank_only,2530487746,2423311806,2527072471,2646562672,0,0
2025-01-19,bank_only,2530487746,2423311806,2527072471,2646562672,0,0
2025-01-20,bank_only,2530487746,2423311806,2527072471,2646562672,0,0
2025-01-21,bank_only,2507345773,2406116550,2509372676,2606156444,0,0
2025-01-22,bank_only,2486193955,2401009305,2490772365,2550243373,0,0
2025-01-23,bank_only,2500026096,2416383815,2504116738,2568091781,0,0
2025-01-24,bank_only,2506596969,2419088497,2509397768,2576600181,0,0
2025-01-25,bank_only,2506596969,2419088497,2509397768,2576600181,0,0
2025-01-26,bank_only,2506596969,2419088497,2509397768,2576600181,0,0
2025-01-27,bank_only,2505232007,2421836001,2510339139,2570431894,0,0
2025-01-28,bank_only,2514408038,2435623716,2517946315,2585003353,0,0
2025-01-29,bank_only,2518162922,2435106831,2524355751,2580723572,0,0
2025-01-30,bank_only,2523901470,2446152282,2527808890,2587878045,0,0
2025-01-31,bank_only,2535943640,2446656850,2541926962,2591412789,0,0
2025-02-01,bank_only,2535943640,2446656850,2541926962,2591412789,0,0
2025-02-02,bank_only,2535943640,2446656850,2541926962,2591412789,0,0
2025-02-03,bank_only,2545190413,2461518227,2548886104,2606322853,0,0
2025-02-04,bank_only,2561897729,2478177758,2567409563,2623105070,0,0
2025-02-05,bank_only,2563468200,2484408035,2570164428,2629733365,0,0
2025-02-06,bank_only,2571505301,2486053329,2576379178,2636035538,0,0
2025-02-07,bank_only,2578249305,2495378285,2583094542,2640617208,0,0
